Rohit Sharma | Man of the match: It was an important game, a decider," and we wanted to just enjoy ourselves. To keep that Australian batting line-up to less than 290 was impressive. Once KL got out, we knew we needed to stitch together a big partnership, and no better person than the captain himself to do that. It was important to get that partnership from the team's perspective. We had that talk in the middle - one of the two of us needs to continue, and we couldn't lose the momentum, especially after the 100-run stand. I was middling and seeing it well, so I said I wanted to play my shots, and take the risks. It came off today, but if we had lost wickets, things would be different. Australia always comes up with good bowling attacks. Their top three quick bowlers challenge you, they've got variety and skills. In the first two games I was trying something different and it didn't come off. Today I just wanted to be there till the end, around the 35th over, and I was trying to push the run-rate forward because I was seeing it really well, but it didn't come off because I miscued one."
Hazlewood to Rohit, no run," maiden! Hazlewood has been top notch in his three overs. He is giving nothing away. This final ball as well was on off and middle, Rohit defends it to the right of Hazlewood"
Hazlewood to Rohit, no run," 142kph and Rohit will feel missed out there. Full and at the stumps, clipped straight to mid-wicket. Better placement would have fetched him a boundary"
Hazlewood to Rohit, no run, nips back in from short of length and Rohit is jumping in the crease to fend it to backward point
Hazlewood to Rohit, no run," peach! Hazlewood time and again produces an unplayable delivery. This was angled in and Rohit was shaping to play the flick through the leg-side, the ball straightens to beat him neck and crop. It was not far away from the off-stump either"
Hazlewood to Rohit, no run," 142.8kph back of a length close to off, Rohit drops it dead down the wicket"
Hazlewood to Rohit, no run," fuller and on off-stump, Rohit knocks it with a straight bat to mid-on"
Cummins to Rahul, no run," back of a length on off, Rahul is right behind the line to defend it back"
Cummins to Rahul, FOUR," not in complete control but Rahul and India will take that. Third boundary of the over and Cummins is going for plenty. On a length and outside off, Rahul slices the drive behind point and the ball sped away on this fast outfield"
Cummins to Rohit, 1 run," fuller and outside off, Rohit drives it crisply and Warner intercepts with a dive near mid-off"
Cummins to Rohit, FOUR," precision personified. Cross-seam off-cutter on a fullish length, Rohit leans forward, opens the bat face and drives it square of the wicket. The off-side is packed but he still manages to find the gap and that is because he opened the bat face at the last second"
Cummins to Rohit, no run," gets away with one there, does Cummins. Strays on the pads and Rohit glances it close to short fine, Starc tumbles to his right to make the stop and parry it towards Carey"
Cummins to Rohit, FOUR," streaky but Rohit won't mind. He saw the width on offer and throws everything he's got on the slash, the toe-end runs away fine to the right of Carey and third man too has no chance"
Hazlewood to Rahul, no run," 139.6kph nip-backer and if not for an inside edge, Rahul was a dead duck. He stays rooted to the crease and brought his bat down in the nick of time, the inside edge thud into the pad and rolled into the off-side"
Hazlewood to Rohit, 1 run, width on offer and Rohit forces it off the outer half to third man
Hazlewood to Rohit, no run," a Hazlewood special. The scrambled seam delivery and it decks away, Rohit is in no man's land with his footwork as he goes fiddling for it away from the body and is beaten on the outside edge"
Hazlewood to Rohit, no run," this back of a length delivery keeps low, Rohit camps back and stabs it down the wicket"
Hazlewood to Rohit, no run," 141.3kph full and around off, Rohit offers a straight bat and pushes to mid-on"
Hazlewood to Rohit, no run," fuller than a good length and hint of away movement, Rohit shoulders arms"
Cummins to Rohit, 1 run," short of length outside off, Rohit slashes it away to third man"
Cummins to Rohit, FOUR," slightly off-line and that is enough for a class batsman like Rohit. He hops inside the line, makes use of the pace on offer and tucks it backward of square leg"
Cummins to Rahul, 1 run," in the air and on the bounce to Zampa. Short and outside off, Rahul throws his bat on the cut shot and slices it towards third man, Zampa dared not come for the catch as the ball was traveling quickly towards him, keeps his body behind the line and gathers it"
Cummins to Rohit, 1 run," back of a length on off, Rohit stays behind the line and tucks it to deep square leg"
Cummins to Rahul, 1 run," 147.2kph full and outside off, Rahul drives it crisply towards mid-off and it needed a dive from Warner to stop the ball, he probably saved three there"
Cummins to Rahul, no run," good length ball that hits the splice of the bat as Rahul looks to push it on the rise, rolls to mid-wicket"
Hazlewood to Rahul, 1 run," just the single of Hazlewood's first over. Rahul taps the back of a length delivery with soft hands into the on-side, looks up at Rohit and off go the duo, easily nabbed"
Hazlewood to Rahul, no run," once again the three quarter length, Rahul drops it dead near his feet"
Hazlewood to Rahul, no run," back of a length on off, Rahul is right behind the line as he turns it to mid-wicket"
Hazlewood to Rahul, no run," missed out there. 140.7kph short of length delivery outside off, it is bread and butter shot for Rahul but he goes too hard on the cut and is beaten on the outside edge. The ball also moved away after going past the bat"
Hazlewood to Rahul, no run," 140.3kph targeting the stumps, Rahul drives it straight to mid-on"
Hazlewood to Rahul, no run," good length ball outside off, Rahul lifts his bat and lets it go"
Cummins to Rohit, SIX," ufff! That is a top shot. A very similar delivery to the previous one - full and at the stumps, Rohit is in a better position this time to play the flick, he deliberately hits it in the air and the pace of Cummins takes it all the way over the rope. It was a fine over from Cummins until that point"
Cummins to Rohit, no run," stifled appeal for LBW. Cummins knew it was missing and quickly aborted. Full and speared in at the stumps, Rohit's head falls over while attempting the flick and he misses it completely, the ball was sliding down leg"
Cummins to Rohit, no run, angled in from a length and Rohit gently turns it to mid-wicket
Cummins to Rohit, no run," edge does not carry to Carey. 145.4kph delivery and it has not carried. Weird! Hayden goes, ""Can you believe that, a bottom edge carried earlier."" Fuller and bit of away nibble, Rohit drives and the outside edge goes on the bounce to Carey"
Cummins to Rahul, 1 run," nips back in from a length and Rahul brings the bat down in time, squirts an inside edge to long leg"
Cummins to Rahul, no run," back of a length outside off, Rahul thought about fiddling but let it pass in the end"
Starc to Rohit, no run," long discussion between the Australian players for a LBW review and they don't take it. Finch was asking for the square leg fielder for the height. Looks like it was the only thing saving Rohit. Curls in from a length and Rohit is caught in the crease, beats the inside edge and strikes him around the kneeroll. Ball-tracking shows it to be going over"
Starc to Rohit, no run," fuller than a good length, Rohit's feet don't come forward but he manages to knock it to mid-off"
Starc to Rohit, SIX," intentionally played uppishly and Rohit gets maximum result. Starc looks back at the landing area after delivering rubbish - short and wide outside off, Rohit reaches out and carves the upper cut over point, the ball just manages to clear the rope"
Starc to Rohit, no run," back of a length angled across the right hander, Rohit shoulders arms"
Starc to Rohit, FOUR," rocketed to the fence. Short and plenty of width on offer, Rohit cracks the cut square of the wicket and no one bothers to even chase it, the pace of Starc coupled with Rohit's timing was just too painful for the ball"
Starc to Rahul, 1 run," 146.6kph thunderbolt at the stumps, Rahul employs soft hands to turn it between short mid-wicket and square leg"
Last six partnerships between Rohit & Rahul180,189," 4, 21, 227, 122"
Cummins to Rahul, 1 run," jags back in sharply and Rahul is caught on his forward press, the inside edge hits the back leg and rolls behind square on the off-side, this time Rohit calls through for a single"
Cummins to Rahul, FOUR," 146.3kph and Rahul uses that pace to open his account. Angled in on off-stump, Rahul plays an extended forward push and the pace of Cummins takes care of the rest. But the placement was also exquisite from Rahul as he got it wide of Warner at mid-off"
Cummins to Rahul, no run," back of a length on off, Rahul is back and across to block it with a straight bat"
Cummins to Rahul, 5 wides," the number one ODI bowler did it and now the number one Test bowler does it. Sprays a wayward delivery down leg and gives his keeper no chance, five bonus runs for India"
Cummins to Rahul, no run," 142.1kph once more hits the bat hard with a short of length delivery, Rahul is right behind the line to defend"
Cummins to Rahul, no run," 143.2kph and the ball thuds into the bat than the other way round, Rahul stays back and drops it into the off-side. He wanted a single but Rohit is not interested"
Cummins to Rahul, no run," pounded short outside off, Rahul arches back and allows it to sail past him"
Starc to Rohit, FOUR," width and Rohit cashes in. It didn't come off the middle and he is quick to examine the bottom of the bat. Long half volley outside off, Rohit reaches out and cue-ends the drive past the diving cover fielder, the ball still had enough to race away to the fence"
Starc to Rohit, no run," 148.5kph on a length and angled across off, Rohit defends into the off-side"
Starc to Rohit, no run," fuller and outside off, Rohit's feet don't move as he attempts the drive, mistimed to mid-off"
Starc to Rohit, no run," loud shout for LBW. Starc thinks it is doing too much. So, does Carey behind the stumps and hence Finch does not go for the review. It looked close to the naked eye. Swinging in from a fullish length and Rohit is beaten on the flick, the ball strikes him in front of leg and ball-tracking shows it to be missing the stumps. Good decision from umpire Michael Gough"
Starc to Rohit, no run," 145.3kph short of length outside off, Rohit resisted the temptation to play the cut and let it go"
Starc to Rohit, wide," swing for Starc but the line is wrong. Starts on leg-stump and swings down, Rohit does not connect with the glance"
Starc to Rohit, no run," 142.8kph back of a length angled across off, Rohit hoists his bat up and lets it pass"
Cummins to Rohit, 1 run," 143.6kph good length ball that opens up Rohit, hits the outer half of the bat and runs away to third man. The ball held its line and hence Rohit was squared up while defending"
Fewest innings to 9000 ODI runs:- 194 V Kohli- 208 AB de Villiers- 217 ROHIT SHARMA- 228 S Ganguly- 235 S Tendulkar- 239 B Lara, 1 run," 143.6kph good length ball that opens up Rohit, hits the outer half of the bat and runs away to third man. The ball held its line and hence Rohit was squared up while defending"
Cummins to Rohit, no run," good length ball outside off, Rohit lifts his bat and lets it go"
Cummins to Rohit, no run," on a length and around off, Rohit presses across and blocks to the off-side"
Cummins to Rohit, no run," fuller than a good length, Rohit prods forward and defends with the head right on top of the ball"
Cummins to Rohit, 2 runs," similar delivery, same response and same result. Short of length angled in, Rohit hops to get inside the line and clips it off the hips behind square, Starc tidies up in the deep. He reaches 9000 ODI runs with that brace"
Cummins to Rohit, 2 runs," Rohit and India are away with a nice little clip. 132.7kph loosener on back of a length, Rohit gets inside the line and tucks it backward of square leg, easy two"
